date,Close,High,Low,Open,Volume,real_GDP,PER,PBR,EPS,SMA_5,EMA_5,RSI_5,SMA_10,EMA_10,RSI_10,SMA_20,EMA_20,RSI_20,SMA_30,EMA_30,RSI_30,SMA_60,EMA_60,RSI_60
2010-01-04,45639.80078125,45758.04060831161,44693.90100535545,44930.376891359,974307.0,2.3,24.25,7.679999828338623,7959.0,45237.790625,45639.80078125,6.24966446278944,44516.540625,45639.80078125,29.99993943154857,44090.8857421875,45639.80078125,34.12697892459562,42616.8546875,45639.80078125,40.57968747705746,43068.129296875,45639.80078125,46.84210594952694
2010-01-05,45639.80078125,46349.22843926066,44930.376891359,45285.0888363045,920400.0,2.3,24.25,7.679999828338623,7959.0,45237.790625,45639.80078125,6.24966446278944,44516.540625,45639.80078125,29.99993943154857,44090.8857421875,45639.80078125,34.12697892459562,42616.8546875,45639.80078125,40.57968747705746,43068.129296875,45639.80078125,46.84210594952694
2010-01-06,45403.32421875,46585.70363115066,45403.32421875,45639.80010123013,1283697.0,2.3,24.12,7.639999866485596,7959.0,45237.790625,45560.97526041667,6.24966446278944,44516.540625,45596.80504261363,29.99993943154857,44090.8857421875,45617.279203869046,34.12697892459562,42616.8546875,45624.54422883065,40.57968747705746,43068.129296875,45632.047451331964,46.84210594952694
2010-01-07,45521.5546875,46349.21822200179,45166.83905262863,45521.5546875,733984.0,2.3,24.19,7.659999847412109,7959.0,45237.790625,45547.83506944445,6.24966446278944,44516.540625,45583.123159865696,29.99993943154857,44090.8857421875,45608.16258326247,34.12697892459562,42616.8546875,45617.89974229319,40.57968747705746,43068.129296875,45628.4247377637,46.84210594952694
2010-01-08,43984.47265625,46112.751828722285,43984.47265625,45521.564007062116,885303.0,2.3,23.37,7.400000095367432,7959.0,45237.790625,45026.71426504631,6.24966446278944,44516.540625,45292.45943193557,29.99993943154857,44090.8857421875,45453.52544735652,34.12697892459562,42616.8546875,45512.51734964525,40.57968747705746,43068.129296875,45574.52466951735,46.84210594952694
2010-01-11,43393.28515625,44575.66467912819,42802.09727887089,43748.00089717344,1501719.0,2.3,23.06,7.300000190734863,7959.0,44788.4875,44482.23789544754,4.761642559805665,44516.540625,44947.155018174555,29.99993943154857,44090.8857421875,45257.312086298756,34.12697892459562,42616.8546875,45375.79269200685,40.57968747705746,43068.129296875,45503.00861990203,46.84210594952694
2010-01-12,45403.32421875,45403.32421875,43747.99680950869,43984.47269198882,1407326.0,2.3,24.12,7.639999866485596,7959.0,44741.1921875,44789.2666698817,47.36839817355409,44516.540625,45030.09487282463,29.99993943154857,44090.8857421875,45271.218003675065,34.12697892459562,42616.8546875,45377.56891953867,40.57968747705746,43068.129296875,45499.74027888065,46.84210594952694
2010-01-13,44220.9453125,45403.32086956282,43511.51771739071,44812.133091031414,861627.0,2.3,23.5,7.440000057220459,7959.0,44504.71640625,44599.826217421134,39.130384820625075,44516.540625,44882.97677094742,29.99993943154857,44090.8857421875,45171.19203308696,34.12697892459562,42616.8546875,45302.94804166521,40.57968747705746,43068.129296875,45457.81257506489,46.84210594952694
2010-01-14,43156.8046875,44457.423909175195,43156.8046875,43866.232326199315,1288673.0,2.3,22.93,7.260000228881836,7959.0,44031.76640625,44118.819040780756,31.481490545213376,44516.540625,44569.12730122971,29.99993943154857,44090.8857421875,44979.34561922154,34.12697892459562,42616.8546875,45164.48718010617,40.57968747705746,43068.129296875,45382.36969350538,46.84210594952694
2010-01-15,42802.09375,43511.52140523728,42329.14197984181,43156.80569355882,1236549.0,2.3,22.74,7.199999809265137,7959.0,43795.290625,43679.91061052051,38.6363414522435,44516.540625,44247.84847373339,29.99993943154857,44090.8857421875,44771.9882983433,34.12697892459562,42616.8546875,45012.07470074448,40.57968747705746,43068.129296875,45297.770482242915,46.84210594952694
